url,cvdr_id,title,doc_type,year,category,authority_type,authority_name,municipality,single_parent_relevant,mentions_single_parent_explicitly,single_parent_signals,benefit_signals,eligibility_signals,application_data_signals,eligibility_snippet,application_snippet
https://lokaleregelgeving.overheid.nl/CVDR748406/1,748406,Uitvoeringsregeling subsidie Voorschool Hengelo 2026,Uitvoeringsregeling,2026.0,subsidies,gemeente,Hengelo,Hengelo,True,True,"alleenstaande ouder, kinderen, kinderopvang, kinderopvangtoeslag","kinderopvang, participatie, regeling, tegemoetkoming, toeslag","arbeid, inkomen, leeftijd, student, uitkering, verblijf, woonplaats, ww","aanvraag, aanvragen, adres, beschikking, bewijs, bsn, inschrijving, kind","groepen op kinderopvanglocaties die in het LRK staan geregistreerd als VVE gecertificeerd. De minimale groepsgrootte bedraagt 7 kinderen (uitzondering hierop zijn locaties in een kleine kern), waarbij minimaal 1 doelgroepkind dient deel te nemen. De maximale groepsgrootte bedraagt 16 kinderen. Subsidie voor één peutergroep van maximaal 8 kinderen voor locaties in een kleine kern. Subsidieaanvraag voorwaarden Een subsidieaanvraag kan enkel worden ingediend door een houder. • Twee aanvraagperiodes: 15 november 2025 – 15 januari 2026 en 15 mei 2026 – 15 juli 2026 • Aanvragen voor de eerste periode hebben betrekking op het hele kalenderjaar 2026 en kunnen alleen gedaan worden voor peuterplekken in peutergroepen die uiterlijk per 1 februari 2026 zijn gestart. • Aanvragen voor de tweede periode","kend aan groepen op kinderopvanglocaties die in het LRK staan geregistreerd als VVE gecertificeerd. De minimale groepsgrootte bedraagt 7 kinderen (uitzondering hierop zijn locaties in een kleine kern), waarbij minimaal 1 doelgroepkind dient deel te nemen. De maximale groepsgrootte bedraagt 16 kinderen. Subsidie voor één peutergroep van maximaal 8 kinderen voor locaties in een kleine kern. Subsidieaanvraag voorwaarden Een subsidieaanvraag kan enkel worden ingediend door een houder. • Twee aanvraagperiodes: 15 november 2025 – 15 januari 2026 en 15 mei 2026 – 15 juli 2026 • Aanvragen voor de eerste periode hebben betrekking op het hele kalenderjaar 2026 en kunnen alleen gedaan worden voor peuterplekken in peutergroepen die uiterlijk per 1 februari 2026 zijn gestart. • Aanvragen voor de tweede"
https://lokaleregelgeving.overheid.nl/CVDR749457/1,749457,Verordening Individuele inkomenstoeslag gemeente Vlissingen 2025,Verordening,2025.0,social_support,gemeente,Vlissingen,Vlissingen,True,True,alleenstaande ouder,"individuele inkomenstoeslag, participatie, regeling, toeslag","bijstandsnorm, inkomen, participatiewet, uitkering","aanvraag, adres","an deze verordening, beleidsregels vast te stellen. Artikel 3. Indienen verzoek Een verzoek als bedoeld in artikel 36, eerste lid, van de Participatiewet, wordt ingediend middels een door het college vastgesteld formulier. Artikel 4. Langdurig laag inkomen Een persoon heeft een langdurig laag inkomen als bedoeld in artikel 36, eerste lid, van de Participatiewet als gedurende de referteperiode het in aanmerking te nemen inkomen niet hoger is dan 120% van de toepasselijke bijstandsnorm. Artikel 5. Hoogte individuele inkomenstoeslag 1. Een individuele inkomenstoeslag bedraagt per jaar: a. voor een alleenstaande: € 495,- b. voor een alleenstaande ouder: € 631,- c. voor gehuwden: € 707,- 2. Als één van de gehuwden is uitgesloten van het recht op individuele inkomenstoeslag ingevolge de artikele","nkomenstoeslag als bedoeld in de Participatiewet vorm wordt gegeven; Besluit: Vast te stellen de verordening individuele inkomenstoeslag gemeente Vlissingen 2025; Artikel 1. Begrippen In deze verordening wordt verstaan onder: 1. inkomen: totaal van het inkomen, bedoeld in artikel 32 van de Participatiewet, en de algemene bijstand; 2. peildatum: datum waarop een persoon individuele inkomenstoeslag aanvraagt; 3. referteperiode: periode van drie jaar voorafgaand aan de peildatum. Artikel 2. Uitvoering Het college van Burgemeester en Wethouders van de gemeente Vlissingen is bevoegd, met inachtneming van de wettelijke bepalingen, ter uitvoering van deze verordening, beleidsregels vast te stellen. Artikel 3. Indienen verzoek Een verzoek als bedoeld in artikel 36, eerste lid, van de Participatiew"
https://lokaleregelgeving.overheid.nl/CVDR735525/2,735525,Beleidsregels bijzondere bijstand gemeente Vlissingen 2025,Beleidsregels,2025.0,social_support,gemeente,Vlissingen,Vlissingen,True,True,"alleenstaande ouder, kinderen, schoolkosten","bijzondere bijstand, cultuur, participatie, regeling, schoolkosten, sport, tegemoetkoming, toeslag, witgoed","arbeid, bijstandsnorm, inkomen, kostendelersnorm, leeftijd, participatiewet, student, uitkering, verblijf, vermogen, wajong, woonplaats, ww","aanvraag, adres, beschikking, bewijs, inschrijving, kind, offerte, paspoort","an een woning in eigendom, waarvan de woonkosten gelet op artikel 13 van de Wet op de huurtoeslag wel een belemmering vormt voor huurtoeslag, wanneer het een huurwoning zou betreffen. Hierbij is een verlaging van de woonlasten door de hypotheekverstrekker een voorliggende voorziening op bijstand. 6. Aan de woonkostentoeslag als bedoeld in lid 4 en lid 5 wordt op grond van artikel 55 van de wet de voorwaarde verbonden dat de inwoner naar vermogen probeert goedkopere passende woonruimte te vinden (verhuisplicht) en/of een passende woonruimte te aanvaarden. Hiervan moet de inwoner bewijsstukken kunnen overleggen. In buitengewone omstandigheden kan tot verlenging van woonkostentoeslag worden overgegaan. 7. De Wet op de huurtoeslag is in relatie tot woonkostentoeslag aan te merken als een voorl",lgeving Contactgegevens overheden Adressen en contactpersonen van overheidsorganisaties. Naar overheidsorganisaties U bent hier: Lokale Wet- en regelgeving Uitgebreid zoeken Regeling Wetstechnische informatie Regeling tekst Inhoudsopgave Intitule Hoofdstuk 1 Algemene bepalingen Artikel 1 Begripsbepalingen Artikel 2 Wettelijke en gemeentelijke uitgangspunten van de bijzondere bijstand Artikel 3 De aanvraag Artikel 4 Specifieke bepalingen over de vorm van bijstand Artikel 5 Uitbetaling Hoofdstuk 2 Draagkracht bijstand Artikel 6 Algemene bepalingen over draagkracht Artikel 7 Basis voor de draagkrachtberekening Artikel 8 Draagkracht in inkomen Artikel 9 Draagkracht in vermogen Hoofdstuk 3 Levensonderhoud aan niet thuiswonende jongeren Artikel 10 Aanvulling levensonderhoud jongeren 18 tot en me
https://lokaleregelgeving.overheid.nl/CVDR749194/1,749194,Beleidsregels leerlingenvervoer Best 2025,Beleidsregels,2025.0,social_support,gemeente,Best,Best,True,True,"alleenstaande ouder, kinderen, minderjarig","leerlingenvervoer, participatie, regeling, sport","leeftijd, uitkering, verblijf, vermogen","aanvraag, aanvragen, adres, beschikking, kind","maakt hierbij onderscheidt tussen basisonderwijs en voortgezet onderwijs: Basisonderwijs 1. Vervoer door ouders Vergoedingen worden in eerste instantie toegekend op basis van een kilometervergoeding van door de ouders georganiseerd vervoer, zoals het brengen en halen van de leerling met de eigen auto. 2. Aangepast vervoer Indien door ouders georganiseerd vervoer niet mogelijk is, komt de leerling in aanmerking voor aangepast vervoer, zoals een taxi of taxibusje. Voortgezet Onderwijs 1. Zelfstandig leren reizen a. met een ebike; b. met het openbaar vervoer. 2. Vervoer door ouders Indien fietsen of openbaar vervoer geen optie is, kan vergoeding worden verleend op basis van de kosten van door de ouders georganiseerd vervoer, zoals het brengen en halen van de leerling met de eigen auto. 3. Aan",subsidies. Naar dienstverlening Beleid & regelgeving Officiële publicaties van de overheid. Naar beleid & regelgeving Contactgegevens overheden Adressen en contactpersonen van overheidsorganisaties. Naar overheidsorganisaties U bent hier: Lokale Wet- en regelgeving Uitgebreid zoeken Regeling Wetstechnische informatie Regeling tekst Inhoudsopgave Intitule Artikel 1. Begripsomschrijving Artikel 2. Aanvraag Artikel 3. Onderzoek Artikel 4. Inzet deskundige Artikel 5. Ingangsdatum voorziening Artikel 6. Algemene bepalingen Artikel 7. Vervoersvoorziening naar de dichtstbijzijnde toegankelijke school Artikel 8. Schooltijden en wachttijden Artikel 9. Vervoerstraining Artikel 10. Vervoersvergoeding op basis van de kosten van door de ouders georganiseerd vervoer Artikel 11. Vervoersvoorziening op b
https://lokaleregelgeving.overheid.nl/CVDR748580/1,748580,Beleidsregels Verstrekking Witgoed Geldrop-Mierlo 2025,Beleidsregels,2025.0,social_support,gemeente,Geldrop,Geldrop-Mierlo,True,True,"alleenstaande ouder, schoolkosten","bijzondere bijstand, energietoeslag, individuele inkomenstoeslag, meedoen, participatie, regeling, schoolkosten, toeslag, witgoed","bijstandsnorm, inkomen, leeftijd, nationaliteit, participatiewet, uitkering, verblijf, vermogen, woonplaats","aanvraag, aanvragen, adres, bewijs, brp, factuur",gelgeving Officiële publicaties van de overheid. Naar beleid & regelgeving Contactgegevens overheden Adressen en contactpersonen van overheidsorganisaties. Naar overheidsorganisaties U bent hier: Lokale Wet- en regelgeving Uitgebreid zoeken Regeling Wetstechnische informatie Regeling tekst Inhoudsopgave Intitule Artikel 1. Begripsbepalingen Artikel 2. Doel en reikwijdte van de regeling Artikel 3. Voorwaarden Artikel 4. Ambtshalve verzending en aanvraag Artikel 5. Beschikbaar budget Artikel 6. Controle en terugvordering Artikel 7. Hardheidsclausule Artikel 8. Duur en inwerkingtreding van de regeling Artikel 9. Citeertitel Ondertekening Bijlage 1: Geselecteerde energiezuinige productcategorieën en bijbehorende energielabels Algemene toelichting Permalink Printen Permanente link Naar de actue,Naar beleid & regelgeving Contactgegevens overheden Adressen en contactpersonen van overheidsorganisaties. Naar overheidsorganisaties U bent hier: Lokale Wet- en regelgeving Uitgebreid zoeken Regeling Wetstechnische informatie Regeling tekst Inhoudsopgave Intitule Artikel 1. Begripsbepalingen Artikel 2. Doel en reikwijdte van de regeling Artikel 3. Voorwaarden Artikel 4. Ambtshalve verzending en aanvraag Artikel 5. Beschikbaar budget Artikel 6. Controle en terugvordering Artikel 7. Hardheidsclausule Artikel 8. Duur en inwerkingtreding van de regeling Artikel 9. Citeertitel Ondertekening Bijlage 1: Geselecteerde energiezuinige productcategorieën en bijbehorende energielabels Algemene toelichting Permalink Printen Permanente link Naar de actuele versie van de regeling http://lokaleregelgevi
https://lokaleregelgeving.overheid.nl/CVDR748428/1,748428,Regeling bevordering maatschappelijke participatie Gouda 2025,Regeling,2025.0,social_support,gemeente,Gouda in de Basisregistratie personen,Gouda in de Basisregistratie personen,True,True,"alleenstaande ouder, kinderen, minderjarig, kindpakket, schoolkosten, kinderopvang","bijzondere bijstand, cultuur, kinderopvang, kindpakket, meedoen, participatie, regeling, schoolkosten, sport, tegemoetkoming, toeslag","arbeid, bijstandsnorm, inkomen, leeftijd, nationaliteit, uitkering, verblijf, ww","aanvraag, aanvragen, adres, bewijs, inschrijving, kind, paspoort","urele en educatieve activiteiten; c. voor kinderen in de leeftijd van 4 tot 18 jaar een jeugdtegoed voor de aanschaf van specifieke producten ten behoeve van kinderen; d. voor kinderen in de leeftijd van 4 tot 18 jaar een tegemoetkoming in de schoolkosten voor specifieke kosten die samenhangen met schoolactiviteiten; e. voor kinderen in de leeftijd van 14 tot 18 jaar een ID-kaart in natura. 2. De voorwaarden om in aanmerking te komen voor het kindpakket zijn: a. aanvrager ontvangt op de peildatum kinderbijslag voor het betreffende kind; b. aanvrager heeft op de peildatum een inkomen dat de in artikel 5 van de verordening gestelde grens niet overschrijdt; en c. aanvrager en het kind hebben op de peildatum hetzelfde woonadres in Gouda. 3. In afwijking van het bepaalde in het tweede lid, kan","rordening maatschappelijke participatie Gouda 2023; besluit: 1. De Regeling bevordering maatschappelijke participatie Gouda 2025 vast te stellen. Artikel 1. Begripsbepalingen In deze regeling wordt verstaan onder: a. verordening: de verordening bevordering maatschappelijke participatie Gouda 2023: b. college: college van burgemeester en wethouders; c. inwoner: een persoon die op het moment van de aanvraag de leeftijd van 18 jaar heeft bereikt en ingeschreven staat in de gemeente Gouda in de Basisregistratie personen; d. stadspas: een door of namens het college aan een inwoner verstrekt document dat strekt ter bevordering van de deelname aan maatschappelijke, educatieve, recreatieve, sportieve en culturele activiteiten; e. kind: een persoon jonger dan 18 jaar die ingeschreven staat in de ge"
https://lokaleregelgeving.overheid.nl/CVDR748371/1,748371,Subsidieregeling witgoedwissel gemeente Dantumadiel 2025-2,Subsidieregeling,2025.0,subsidies,gemeente,Dantumadiel,Dantumadiel -2,True,True,alleenstaande ouder,"energietoeslag, participatie, regeling, toeslag, witgoed","bijstandsnorm, ingezetene, inkomen, participatiewet, uitkering, verblijf","aanvraag, aanvragen, adres, beschikking, bewijs, uitkeringsspecificatie","met uitzondering van de jongere zoals bedoeld in artikel 12 van de Participatiewet; 3. is ingeschreven in de basisregistratie personen als ingezetene met enkel een briefadres. In afwijking tot het in de Participatiewet bepaalde, heeft de persoon die jonger is dan 27 jaar en aanspraak maakt op studiefinanciering op grond van de Wet studiefinanciering 2000, recht op een witgoedwissel, mits aan alle voorwaarden is voldaan. g. inkomen: totaal van het inkomen als bedoeld in artikel 32 en 33 van de Participatiewet. Voor huishoudens met een eigen onderneming geldt dat deze hun inkomsten in eerste instantie aannemelijk kunnen maken op basis van de aangifte omzetbelasting van de drie maanden, dan wel het kwartaal, voorafgaand aan de peildatum; h. leverancier: een verkooppunt van witgoed die gevesti","behoeve van de aanpak energiearmoede aan de gemeente Dantumadiel; - ons besluit van 30 september 2025 inzake de “Energiearmoede, witgoedwissel en CDOKE 2025”; b e s l u i t vast te stellen de “Subsidieregeling witgoedwissel gemeente Dantumadiel 2025-2”. Artikel 1 Algemeen Artikel 1.1 Begripsbepalingen a. aanvrager: een huishouden van één of meer natuurlijke personen die de éénmalige witgoedwissel aanvraagt; b. ASV: Algemene subsidieverordening gemeente Dantumadiel 2020; c. bijstandsnorm: de toepasselijke bijstandsnorm als bedoeld in artikel 5 onderdeel c van de Participatiewet; d. college: college van burgemeester en wethouders van de gemeente Dantumadiel; e. energiecoach: bezoekt namens de gemeente Dantumadiel de aanvrager en bekijkt samen met de aanvrager wat kan worden gedaan om het ene"
https://lokaleregelgeving.overheid.nl/CVDR747790/1,747790,Subsidieregeling energiearmoede en verduurzaming particuliere woningen GGA Vlagtwedde 2025,Subsidieregeling,2025.0,subsidies,gemeente,Westerwolde overweegt dat,Westerwolde overweegt dat,True,True,"alleenstaande ouder, kinderen","regeling, toeslag","aow, bijstandsnorm, inkomen, leeftijd, uitkering, verblijf, vermogen","aanvraag, aanvragen, adres, kind, offerte","n het college van burgemeester en wethouders om verlening van subsidie door de regeling; g. Aanvrager: natuurlijke persoon die als eigenaar en bewoner van een als woning gebruikte onroerende zaak, waaraan energie wordt geleverd een aanvraag heeft ingediend; h. Bestaande bouw: een woning met een bouwjaar van vóór 1 januari 2019; i. Aflossingsvrij verduurzamingskrediet: een leningsvorm met gunstige voorwaarden (bijvoorbeeld 0% aflossingsrente) voor huishoudens met een laag inkomen en/of onvoldoende leencapaciteit, voor het nemen van energiemaatregelen aan een bestaande woning. Een voorbeeld hiervan is de Energiebespaarlening of een daarmee vergelijkbare regeling afkomstig van het Nationaal Warmtefonds en/of de provincie Groningen. Artikel 1.2 Doelstelling subsidieregeling De gemeente Westerw","1): lijst met voor subsidie in aanmerking komende maatregelen en criteria; d. EPA-advies: rapportage door een onafhankelijke adviseur over de woning met betrekking tot energieverbruik, energetische staat en aanbevolen energiebesparende isolatiemaatregelen en/of ventilatiemaatregelen, installaties; e. Aanschaf: eigendomsverkrijging op basis van een met een leverancier gesloten koopovereenkomst; f. Aanvraag: schriftelijk verzoek aan het college van burgemeester en wethouders om verlening van subsidie door de regeling; g. Aanvrager: natuurlijke persoon die als eigenaar en bewoner van een als woning gebruikte onroerende zaak, waaraan energie wordt geleverd een aanvraag heeft ingediend; h. Bestaande bouw: een woning met een bouwjaar van vóór 1 januari 2019; i. Aflossingsvrij verduurzamingskredi"
https://lokaleregelgeving.overheid.nl/CVDR746917/1,746917,Verordening Participatiewet gemeente Huizen 2025,Verordening,2025.0,social_support,gemeente,Huizen,Huizen,True,True,"alleenstaande ouder, alleenstaande ouders, kinderopvang, kinderopvangtoeslag","bijzondere bijstand, individuele inkomenstoeslag, kinderopvang, leefgeld, meedoen, participatie, regeling, toeslag","aow, arbeid, bijstandsnorm, inkomen, participatiewet, uitkering, wajong","aanvraag, aanvragen, adres, beschikking, kind",2004 (Bbz). 3. De Wet Inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW). 4. De Wet Inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ). 5. De Algemene wet bestuursrecht (Awb). 6. De Gemeentewet. Artikel 2: Individuele inkomenstoeslag 1. Een persoon kan een individuele inkomenstoeslag aanvragen als hij/zij voldoet aan de voorwaarden uit dit artikel. 2. Het college kan hiervoor een aanvraagformulier vaststellen. 3. De persoon heeft de afgelopen 36 maanden (zonder onderbreking) een inkomen gehad dat lager is dan 110% van de geldende bijstandsnorm. 4. Een individuele inkomenstoeslag is per kalenderjaar: a. € 512 voor een alleenstaande b. € 653 voor een alleenstaande ouder c. € 731 voor gehuwden of mensen die samenwon,"atiewet. 3. College: het college van burgemeester en wethouders van de gemeente Huizen. 4. Voorziening: hulp voor een persoon om (weer) aan het werk te gaan of om een bijstandsuitkering te krijgen, zoals bedoeld in artikel 7 van de Participatiewet. 5. Inkomen: het totale inkomen, zoals bedoeld in artikel 32 van de Participatiewet. 6. Peildatum: datum waarop een persoon individuele inkomenstoeslag aanvraagt. 7. Benadelingsbedrag: netto-uitkering waarop eerder, langer of tot een hoger bedrag een beroep wordt of is gedaan als gevolg van tekortschietend besef van verantwoordelijkheid voor de voorziening in het bestaan. De netto-uitkering die een persoon eigenlijk niet had mogen krijgen, omdat die persoon niet genoeg verantwoordelijkheid heeft genomen om zelf voor zijn of haar inkomen te zorgen"
https://lokaleregelgeving.overheid.nl/CVDR747789/1,747789,Subsidieregeling verduurzaming particuliere woningen Westerwolde 2025,Subsidieregeling,2025.0,subsidies,gemeente,Westerwolde overweegt dat,Westerwolde overweegt dat,True,True,"alleenstaande ouder, kinderen","regeling, toeslag","aow, bijstandsnorm, inkomen, leeftijd, uitkering, verblijf, vermogen","aanvraag, aanvragen, adres, kind, offerte","n het college van burgemeester en wethouders om verlening van subsidie door de regeling; g. Aanvrager: natuurlijke persoon die als eigenaar en bewoner van een als woning gebruikte onroerende zaak, waaraan energie wordt geleverd een aanvraag heeft ingediend; h. Bestaande bouw: een woning met een bouwjaar van vóór 1 januari 2019; i. Aflossingsvrij verduurzamingskrediet: een leningsvorm met gunstige voorwaarden (bijvoorbeeld 0% aflossingsrente) voor huishoudens met een laag inkomen en/of onvoldoende leencapaciteit, voor het nemen van energiemaatregelen aan een bestaande woning. Een voorbeeld hiervan is de Energiebespaarlening of een daarmee vergelijkbare regeling afkomstig van het Nationaal Warmtefonds en/of de provincie Groningen. Artikel 1.2 Doelstelling subsidieregeling De gemeente Westerw","1): lijst met voor subsidie in aanmerking komende maatregelen en criteria; d. EPA-advies: rapportage door een onafhankelijke adviseur over de woning met betrekking tot energieverbruik, energetische staat en aanbevolen energiebesparende isolatiemaatregelen en/of ventilatiemaatregelen, installaties; e. Aanschaf: eigendomsverkrijging op basis van een met een leverancier gesloten koopovereenkomst; f. Aanvraag: schriftelijk verzoek aan het college van burgemeester en wethouders om verlening van subsidie door de regeling; g. Aanvrager: natuurlijke persoon die als eigenaar en bewoner van een als woning gebruikte onroerende zaak, waaraan energie wordt geleverd een aanvraag heeft ingediend; h. Bestaande bouw: een woning met een bouwjaar van vóór 1 januari 2019; i. Aflossingsvrij verduurzamingskredi"
